Corporation,Route No,Service Type,Source,Destination,Departure,Arrival
SETC,0900KCBCOIAB / 460AB,AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,09:00,20:00
SETC,1500KCBCOIAC / 460AC,AIR CONDITIONED,CHENNAI KALAIGNAR CBT,COIMBATORE,15:00,00:00
SETC,1600KCBEKMNS / 791NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,ERNAKULAM,16:00,02:30
SETC,1645KCBGURLB / 785LB,NON AC LOWER BERTH SEATER,CHENNAI KALAIGNAR CBT,GURUVAYUR,16:45,05:00
SETC,1800KCBCOIAC / 460AC,AIR CONDITIONED,CHENNAI KALAIGNAR CBT,COIMBATORE,18:00,03:00
SETC,1900KCBCOI / 460UD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,COIMBATORE,19:00,06:00
SETC,1945KCBCOIAC / 460AC,AIR CONDITIONED,CHENNAI KALAIGNAR CBT,COIMBATORE,19:45,04:45
SETC,2000KCBCOIAB / 460AB,AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,20:00,07:00
SETC,2030KCBCOINS / 460NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,20:30,07:30
SETC,2100KCBCOINS / 460NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,21:00,08:00
SETC,2115KCBCOIAB / 460AB,AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,21:15,08:15
SETC,2130KCBCOIAS / 460AS,AC SLEEPER,CHENNAI KALAIGNAR CBT,COIMBATORE,21:30,08:30
SETC,2200KCBCOINS / 460NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,22:00,09:00
SETC,2215KCBCOIAB / 460AB,AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,22:15,09:15
SETC,2245KCBCOILB / 460LB,NON AC LOWER BERTH SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,22:45,09:45
SETC,2315KCBCOIAL / 460AL,AC LOWER BERTH SEATER,CHENNAI KALAIGNAR CBT,COIMBATORE,23:15,10:15
SETC,1830KCBKUI / 172UD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,KUMILI,18:30,05:25
SETC,1900KCBCBA / 164UD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,CUMBAM,19:00,09:45
SETC,2215KCBCBALB / 164LB,NON AC LOWER BERTH SEATER,CHENNAI KALAIGNAR CBT,CUMBAM,22:15,09:15
SETC,2030KCBERUNS / 169NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,ERUVADI,20:30,04:35
SETC,2130KCBTHD / 155UD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,THONDI,21:30,06:00
SETC,2145KCBDEVNS / 136NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,DEVAKOTTAI,21:45,07:15
SETC,2215KCBDEV / 136UD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,DEVAKOTTAI,22:15,07:45
COIMBATORE,2100KCBDHRCC01U / 100UD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,DHARAPURAM,21:00,07:00
SETC,1900KCBCBA / 164UD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,CUMBAM,19:00,02:30
SETC,2045KCBTHEAB / 160AB,AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,THENI,20:45,05:45
SETC,2050KCBDIN / 132UD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,DINDIGUL,20:50,06:35
SETC,2130KCBDINAC / 132AC,AIR CONDITIONED,CHENNAI KALAIGNAR CBT,DINDIGUL,21:30,06:30
SETC,2215KCBCBALB / 164LB,NON AC LOWER BERTH SEATER,CHENNAI KALAIGNAR CBT,CUMBAM,22:15,05:45
SETC,2245KCBDINNS / 132NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,DINDIGUL,22:45,08:30
SETC,1600KCBEKMNS / 791NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,ERNAKULAM,16:00,07:00
SETC,1800KCBCOIAC / 460AC,AIR CONDITIONED,CHENNAI KALAIGNAR CBT,COIMBATORE,18:00,00:50
SETC,2000KCBSTM / 432MUD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,SATHIYAMANGALAM,20:00,04:30
COIMBATORE,2030KCBANTCC01L / 40723,DELUXE 3X2,CHENNAI KALAIGNAR CBT,ANTHIYUR,20:30,04:45
SETC,2100KCBPOLAB / T470AB,AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,POLLACHI,21:00,04:00
SETC,2130KCBTPPAC / 470AC,AIR CONDITIONED,CHENNAI KALAIGNAR CBT,TIRUPPUR,21:30,04:30
SETC,2200KCBERONS / 430NS,NON AC SLEEPER SEATER,CHENNAI KALAIGNAR CBT,ERODE,22:00,06:00
SETC,1800KCBCOIAC / 460AC,AIR CONDITIONED,CHENNAI KALAIGNAR CBT,COIMBATORE,18:00,00:50
SETC,2000KCBSTM / 432MUD,ULTRA DELUXE,CHENNAI KALAIGNAR CBT,SATHIYAMANGALAM,20:00,04:30
